investor_id,avg_gap_days
INV000004,85.4
INV000008,70.4
INV000010,64.8
INV000011,40.166666666666664
INV000012,57.0
INV000013,55.333333333333336
INV000014,75.33333333333333
INV000023,58.57142857142857
INV000028,93.6
INV000029,60.666666666666664
INV000030,47.625
INV000033,45.57142857142857
INV000039,68.6
INV000045,70.6
INV000048,46.0
INV000052,36.2
INV000056,74.8
INV000057,49.714285714285715
INV000069,49.111111111111114
INV000072,83.0
INV000073,48.25
INV000074,72.57142857142857
INV000075,74.8
INV000076,91.8
INV000079,65.8
INV000081,81.33333333333333
INV000082,83.66666666666667
INV000086,44.666666666666664
INV000087,92.8
INV000091,44.0
INV000093,55.5
INV000094,44.8
INV000095,69.4
INV000097,54.5
INV000101,65.0
INV000102,65.28571428571429
INV000103,83.4
INV000105,57.0
INV000109,46.25
INV000113,46.0
INV000123,59.666666666666664
INV000128,82.0
INV000131,56.0
INV000132,71.0
INV000133,88.2
INV000138,76.2
INV000145,89.4
INV000146,66.8
INV000148,52.0
INV000155,37.333333333333336
INV000161,73.0
INV000163,61.0
INV000164,61.8
INV000169,67.83333333333333
INV000173,57.666666666666664
INV000175,83.66666666666667
INV000177,65.42857142857143
INV000180,61.8
INV000183,56.125
INV000191,56.5
INV000194,58.0
INV000195,77.4
INV000196,69.0
INV000201,51.125
INV000205,62.57142857142857
INV000210,70.71428571428571
INV000214,94.8
INV000217,92.0
INV000228,59.75
INV000236,67.14285714285714
INV000238,93.6
INV000239,48.857142857142854
INV000243,88.2
INV000245,92.2
INV000249,45.5
INV000252,50.4
INV000255,48.6
INV000256,70.2
INV000259,70.6
INV000260,59.57142857142857
INV000262,53.57142857142857
INV000263,68.42857142857143
INV000265,53.44444444444444
INV000268,62.333333333333336
INV000279,43.375
INV000280,55.75
INV000283,68.0
INV000287,69.83333333333333
INV000289,62.714285714285715
INV000291,89.0
INV000292,46.0
INV000293,47.0
INV000297,90.6
INV000299,85.2
INV000304,70.0
INV000309,52.0
INV000310,75.83333333333333
INV000318,97.4
INV000319,73.5
INV000321,72.83333333333333
INV000328,37.5
INV000331,50.714285714285715
INV000335,96.0
INV000339,94.0
INV000341,54.42857142857143
INV000356,54.4
INV000359,54.125
INV000363,77.0
INV000369,43.8
INV000371,59.285714285714285
INV000372,54.5
INV000380,97.0
INV000388,53.625
INV000392,77.16666666666667
INV000395,55.666666666666664
INV000396,83.2
INV000399,49.55555555555556
INV000400,62.6
INV000403,58.2
INV000407,82.4
INV000408,46.8
INV000412,43.714285714285715
INV000414,66.28571428571429
INV000415,66.16666666666667
INV000418,86.8
INV000427,68.5
INV000428,52.142857142857146
INV000429,77.2
INV000437,97.8
INV000440,69.57142857142857
INV000441,60.8
INV000444,73.2
INV000445,57.75
INV000446,38.6
INV000449,46.8
INV000452,49.375
INV000457,91.4
INV000460,43.4
INV000463,65.16666666666667
INV000466,73.33333333333333
INV000467,56.666666666666664
INV000469,70.5
INV000483,70.42857142857143
INV000491,95.0
INV000493,47.55555555555556
INV000497,71.83333333333333
INV000499,77.83333333333333
INV000507,70.16666666666667
INV000512,54.75
INV000522,100.8
INV000524,55.0
INV000527,50.8
INV000529,59.2
INV000531,47.0
INV000539,77.0
INV000540,73.5
INV000543,83.66666666666667
INV000545,80.6
INV000546,55.0
INV000547,55.8
INV000549,96.2
INV000553,72.0
INV000554,70.2
INV000556,52.42857142857143
INV000562,74.4
INV000563,76.33333333333333
INV000567,63.8
INV000568,62.4
INV000570,67.28571428571429
INV000573,50.833333333333336
INV000575,71.6
INV000578,66.83333333333333
INV000581,78.33333333333333
INV000586,44.5
INV000589,59.125
INV000591,64.5
INV000593,74.2
INV000596,51.75
INV000597,88.6
INV000599,81.5
INV000607,66.66666666666667
INV000608,100.2
INV000609,47.0
INV000612,49.3
INV000615,55.833333333333336
INV000625,86.4
INV000630,68.66666666666667
INV000631,54.0
INV000634,52.25
INV000635,75.0
INV000641,54.8
INV000642,53.5
INV000645,66.0
INV000646,62.333333333333336
INV000651,94.0
INV000652,93.8
INV000657,64.71428571428571
INV000662,66.14285714285714
INV000663,94.4
INV000665,36.22222222222222
INV000667,68.0
INV000673,92.8
INV000675,62.8
INV000676,35.3
INV000678,63.333333333333336
INV000683,54.5
INV000690,56.285714285714285
